source,target,mean_diff,p,perms,rank,q
15,4,0.25,0.3745312734363282,20000,92,1.0
16,4,0.08333333333333331,1.0,20000,340,1.0
17,4,0.08333333333333337,1.0,20000,415,1.0
18,4,0.33333333333333337,0.09154542272886355,20000,16,1.0
19,4,0.25,0.3159842007899605,20000,67,1.0
20,4,0.25,0.36578171091445427,20000,79,1.0
21,4,0.0,1.0,20000,265,1.0
22,4,0.41666666666666663,0.09859507024648767,20000,27,1.0
0,5,-0.16666666666666663,0.5959702014899255,20000,169,1.0
1,5,0.16666666666666663,0.5841707914604269,20000,133,1.0
2,5,0.16666666666666663,0.5902204889755512,20000,156,1.0
3,5,0.0,1.0,20000,233,1.0
4,5,0.08333333333333337,1.0,20000,405,1.0
6,5,0.08333333333333326,1.0,20000,361,1.0
7,5,0.0,1.0,20000,313,1.0
8,5,0.08333333333333337,1.0,20000,300,1.0
9,5,0.0,1.0,20000,465,1.0
10,5,-0.08333333333333337,1.0,20000,482,1.0
11,5,0.0,1.0,20000,282,1.0
12,5,0.0,1.0,20000,318,1.0
13,5,-0.08333333333333337,1.0,20000,332,1.0
14,5,-0.08333333333333326,1.0,20000,354,1.0
15,5,0.0,1.0,20000,388,1.0
16,5,0.0,1.0,20000,341,1.0
17,5,0.0,1.0,20000,416,1.0
18,5,-0.08333333333333337,1.0,20000,435,1.0
19,5,0.0,1.0,20000,445,1.0
20,5,0.08333333333333337,1.0,20000,246,1.0
21,5,0.0,1.0,20000,266,1.0
22,5,0.08333333333333337,1.0,20000,253,1.0
0,6,-0.16666666666666663,0.583370831458427,20000,131,1.0
1,6,0.0,1.0,20000,263,1.0
2,6,0.0,1.0,20000,223,1.0
3,6,0.0,1.0,20000,234,1.0
4,6,0.16666666666666674,0.6464176791160442,20000,192,1.0
5,6,0.0,1.0,20000,383,1.0
7,6,0.33333333333333326,0.1535923203839808,20000,36,1.0
8,6,-0.08333333333333337,1.0,20000,301,1.0
9,6,0.0,1.0,20000,466,1.0
10,6,0.0,1.0,20000,483,1.0
11,6,0.0,1.0,20000,283,1.0
12,6,0.16666666666666663,0.5885705714714264,20000,149,1.0
13,6,0.08333333333333326,1.0,20000,333,1.0
14,6,-0.08333333333333326,1.0,20000,355,1.0
15,6,-0.08333333333333337,1.0,20000,389,1.0
16,6,-0.08333333333333331,1.0,20000,342,1.0
17,6,-0.08333333333333337,1.0,20000,417,1.0
18,6,-0.16666666666666663,0.5898705064746763,20000,153,1.0
19,6,-0.08333333333333326,1.0,20000,446,1.0
20,6,0.16666666666666663,0.6787660616969151,20000,204,1.0
21,6,-0.33333333333333326,0.15299235038248088,20000,32,1.0
22,6,0.08333333333333326,1.0,20000,489,1.0
0,7,0.0,1.0,20000,502,1.0
1,7,0.0,1.0,20000,264,1.0
2,7,0.08333333333333337,1.0,20000,224,1.0
3,7,0.3333333333333333,0.21973901304934754,20000,59,1.0
4,7,0.25,0.37243137843107843,20000,88,1.0
5,7,0.0,1.0,20000,368,1.0
6,7,0.08333333333333337,1.0,20000,362,1.0
8,7,0.16666666666666674,0.6415179241037948,20000,185,1.0
9,7,0.08333333333333326,1.0,20000,467,1.0
10,7,0.0,1.0,20000,484,1.0
11,7,-0.41666666666666663,0.10349482525873706,20000,30,1.0
12,7,0.08333333333333337,1.0,20000,319,1.0
13,7,0.08333333333333326,1.0,20000,334,1.0
14,7,-0.16666666666666663,0.5966201689915505,20000,171,1.0
15,7,0.08333333333333326,1.0,20000,394,1.0
16,7,0.0,1.0,20000,343,1.0
17,7,-0.16666666666666663,0.6691665416729163,20000,197,1.0
18,7,-0.08333333333333337,1.0,20000,436,1.0
19,7,-0.08333333333333326,1.0,20000,239,1.0
20,7,0.16666666666666663,0.6814159292035398,20000,210,1.0
21,7,-0.25,0.3153342332883356,20000,65,1.0
22,7,0.3333333333333333,0.21803909804509775,20000,58,1.0
0,8,-0.25,0.37258137093145344,20000,89,1.0
1,8,0.16666666666666663,0.592720363981801,20000,163,1.0
2,8,0.0,1.0,20000,225,1.0
3,8,0.4166666666666667,0.0983450827458627,20000,26,1.0
4,8,0.0,1.0,20000,406,1.0
5,8,0.08333333333333337,1.0,20000,369,1.0
6,8,0.0,1.0,20000,363,1.0
7,8,0.0,1.0,20000,321,1.0
9,8,-0.08333333333333337,1.0,20000,468,1.0
10,8,-0.16666666666666663,0.47417629118544075,20000,113,1.0
11,8,-0.16666666666666669,0.6832658367081645,20000,214,1.0
12,8,0.0,1.0,20000,320,1.0
13,8,0.0,1.0,20000,335,1.0
14,8,-0.33333333333333326,0.15719214039298035,20000,43,1.0
15,8,0.0,1.0,20000,395,1.0
16,8,-0.16666666666666669,0.6808159592020399,20000,206,1.0
17,8,-0.25,0.31018449077546123,20000,61,1.0
18,8,-0.16666666666666663,0.47792610369481525,20000,122,1.0
19,8,-0.16666666666666663,0.48107594620268984,20000,126,1.0
20,8,-0.25,0.4020798960051997,20000,102,1.0
21,8,-0.33333333333333337,0.09424528773561322,20000,22,1.0
22,8,-0.16666666666666669,0.6866156692165392,20000,218,1.0
0,9,-0.16666666666666663,0.5912704364781761,20000,158,1.0
1,9,0.08333333333333337,1.0,20000,249,1.0
2,9,-0.08333333333333326,1.0,20000,226,1.0
3,9,0.0,1.0,20000,453,1.0
4,9,0.16666666666666674,0.6450677466126694,20000,190,1.0
5,9,-0.08333333333333337,1.0,20000,370,1.0
6,9,0.08333333333333326,1.0,20000,364,1.0
7,9,0.0,1.0,20000,322,1.0
8,9,0.0,1.0,20000,302,1.0
10,9,0.0,1.0,20000,485,1.0
11,9,0.16666666666666669,0.6817159142042898,20000,211,1.0
12,9,0.16666666666666663,0.5941702914854258,20000,167,1.0
13,9,0.16666666666666663,0.5870206489675516,20000,141,1.0
