source,target,mean_diff,p,perms,rank,q
17,4,0.16666666666666663,0.6662166891655418,20000,201,1.0
18,4,0.08333333333333337,1.0,20000,456,1.0
19,4,0.0,1.0,20000,438,1.0
20,4,0.25,0.36978151092445377,20000,82,1.0
21,4,-0.16666666666666674,0.6359682015899205,20000,166,1.0
22,4,0.0,1.0,20000,241,1.0
0,5,0.25,0.399930003499825,20000,96,1.0
1,5,0.25,0.3145342732863357,20000,50,1.0
2,5,0.25,0.3185340732963352,20000,61,1.0
3,5,0.24999999999999994,0.4198790060496975,20000,108,1.0
4,5,0.0,1.0,20000,432,1.0
6,5,0.33333333333333326,0.1559422028898555,20000,28,1.0
7,5,0.25,0.32518374081295937,20000,71,1.0
8,5,0.08333333333333337,1.0,20000,323,1.0
9,5,0.16666666666666674,0.6404179791010449,20000,185,1.0
10,5,0.0,1.0,20000,279,1.0
11,5,-0.08333333333333326,1.0,20000,293,1.0
12,5,0.25,0.3720313984300785,20000,87,1.0
13,5,0.08333333333333337,1.0,20000,308,1.0
14,5,0.16666666666666674,0.6385680715964202,20000,177,1.0
15,5,0.08333333333333337,1.0,20000,384,1.0
16,5,0.16666666666666669,0.6826658667066646,20000,228,1.0
17,5,0.25,0.368131593420329,20000,76,1.0
18,5,0.0,1.0,20000,457,1.0
19,5,0.08333333333333337,1.0,20000,439,1.0
20,5,0.0,1.0,20000,466,1.0
21,5,0.33333333333333337,0.19099045047747612,20000,32,1.0
22,5,0.16666666666666663,0.6674166291685416,20000,205,1.0
0,6,-0.08333333333333337,1.0,20000,500,1.0
1,6,-0.08333333333333326,1.0,20000,267,1.0
2,6,0.0,1.0,20000,493,1.0
3,6,-0.16666666666666669,0.6918654067296636,20000,239,1.0
4,6,-0.08333333333333326,1.0,20000,423,1.0
5,6,0.0,1.0,20000,402,1.0
7,6,0.25,0.31978401079946,20000,66,1.0
8,6,-0.16666666666666663,0.5898205089745513,20000,143,1.0
9,6,-0.16666666666666663,0.47712614369281536,20000,116,1.0
10,6,-0.16666666666666663,0.5902704864756763,20000,147,1.0
11,6,-0.08333333333333326,1.0,20000,294,1.0
12,6,0.25,0.31563421828908556,20000,54,1.0
13,6,-0.08333333333333337,1.0,20000,309,1.0
14,6,0.0,1.0,20000,347,1.0
15,6,-0.16666666666666674,0.640217989100545,20000,183,1.0
16,6,-0.16666666666666669,0.6840657967101645,20000,233,1.0
17,6,0.08333333333333337,1.0,20000,413,1.0
18,6,-0.16666666666666663,0.5906704664766762,20000,149,1.0
19,6,-0.16666666666666663,0.4725763711814409,20000,110,1.0
20,6,0.0,1.0,20000,467,1.0
21,6,-0.16666666666666663,0.6691665416729163,20000,210,1.0
22,6,-0.08333333333333337,1.0,20000,242,1.0
0,7,0.16666666666666663,0.6627668616569171,20000,196,1.0
1,7,0.16666666666666674,0.6380680965951703,20000,173,1.0
2,7,0.33333333333333337,0.18899055047247637,20000,30,1.0
3,7,0.16666666666666663,0.6851157442127893,20000,234,1.0
4,7,0.16666666666666674,0.639618019099045,20000,180,1.0
5,7,0.25,0.37013149342532875,20000,83,1.0
6,7,0.4166666666666667,0.08634568271586421,20000,11,1.0
8,7,0.08333333333333337,1.0,20000,324,1.0
9,7,0.16666666666666663,0.5858207089645517,20000,130,1.0
10,7,0.16666666666666674,0.6381680915954202,20000,174,1.0
11,7,-0.25,0.3975801209939503,20000,93,1.0
12,7,0.25,0.3705314734263287,20000,84,1.0
13,7,0.33333333333333326,0.15494225288735564,20000,27,1.0
14,7,0.08333333333333337,1.0,20000,348,1.0
15,7,0.16666666666666663,0.6783660816959152,20000,220,1.0
16,7,0.0,1.0,20000,369,1.0
17,7,0.08333333333333337,1.0,20000,405,1.0
18,7,0.08333333333333337,1.0,20000,458,1.0
19,7,0.08333333333333337,1.0,20000,440,1.0
20,7,0.24999999999999994,0.4119294035298235,20000,103,1.0
21,7,0.08333333333333326,1.0,20000,246,1.0
22,7,0.3333333333333333,0.2189890505474726,20000,39,1.0
0,8,0.0,1.0,20000,497,1.0
1,8,0.16666666666666663,0.5884705764711764,20000,139,1.0
2,8,0.16666666666666674,0.640317984100795,20000,184,1.0
3,8,0.08333333333333337,1.0,20000,484,1.0
4,8,0.0,1.0,20000,424,1.0
5,8,0.25,0.36778161091945405,20000,74,1.0
6,8,0.16666666666666663,0.592120393980301,20000,156,1.0
7,8,0.16666666666666674,0.6428678566071696,20000,193,1.0
9,8,0.08333333333333326,1.0,20000,284,1.0
10,8,0.08333333333333337,1.0,20000,280,1.0
11,8,-0.08333333333333331,1.0,20000,295,1.0
12,8,0.16666666666666663,0.6684665766711665,20000,208,1.0
13,8,0.0,1.0,20000,299,1.0
14,8,-0.25,0.3733813309334533,20000,89,1.0
15,8,0.08333333333333326,1.0,20000,385,1.0
16,8,0.08333333333333331,1.0,20000,370,1.0
17,8,0.0,1.0,20000,406,1.0
18,8,0.0,1.0,20000,459,1.0
19,8,0.08333333333333337,1.0,20000,441,1.0
20,8,0.0,1.0,20000,468,1.0
21,8,-0.08333333333333337,1.0,20000,247,1.0
22,8,-0.16666666666666669,0.6907654617269137,20000,238,1.0
0,9,0.08333333333333337,1.0,20000,494,1.0
